technique_id,tactics
T1055.011,DefenseEvasion/PrivilegeEscalation
T1053.005,Execution/Persistence/PrivilegeEscalation
T1205.002,DefenseEvasion/Persistence/CommandAndControl
T1066,DefenseEvasion
T1560.001,Collection
T1021.005,LateralMovement
T1047,Execution
T1156,Persistence
T1113,Collection
T1027.011,DefenseEvasion
T1067,Persistence
T1037,Persistence/PrivilegeEscalation
T1557,CredentialAccess/Collection
T1033,Discovery
T1583,ResourceDevelopment
T1218.011,DefenseEvasion
T1613,Discovery
T1583.007,ResourceDevelopment
T1143,DefenseEvasion
T1161,Persistence
T1132.001,CommandAndControl
T1027.009,DefenseEvasion
T1150,DefenseEvasion/Persistence/PrivilegeEscalation
T1556.003,CredentialAccess/DefenseEvasion/Persistence
T1578.004,DefenseEvasion
T1148,DefenseEvasion
T1592,Reconnaissance
T1596.003,Reconnaissance
T1056.001,Collection/CredentialAccess
T1564.012,DefenseEvasion
T1222.002,DefenseEvasion
T1110.001,CredentialAccess
T1216.001,DefenseEvasion
T1597.002,Reconnaissance
T1003,CredentialAccess
T1129,Execution
T1602,Collection
T1561.002,Impact
T1498.001,Impact
T1492,Impact
T1574.007,Persistence/PrivilegeEscalation/DefenseEvasion
T1213.002,Collection
T1006,DefenseEvasion
T1044,Persistence/PrivilegeEscalation
T1588.007,ResourceDevelopment
T1666,DefenseEvasion
T1564.008,DefenseEvasion
T1491.002,Impact
T1027.013,DefenseEvasion
T1171,CredentialAccess
T1590.005,Reconnaissance
T1499.001,Impact
T1014,DefenseEvasion
T1546.013,PrivilegeEscalation/Persistence
T1059.007,Execution
T1590.002,Reconnaissance
T1501,Persistence
T1485.001,Impact
T1514,PrivilegeEscalation
T1123,Collection
T1543,Persistence/PrivilegeEscalation
T1133,Persistence/InitialAccess
T1109,DefenseEvasion/Persistence
T1546.006,PrivilegeEscalation/Persistence
T1539,CredentialAccess
T1053.007,Execution/Persistence/PrivilegeEscalation
T1568.002,CommandAndControl
T1036.007,DefenseEvasion
T1548.002,PrivilegeEscalation/DefenseEvasion
T1099,DefenseEvasion
T1496.003,Impact
T1016.001,Discovery
T1548.003,PrivilegeEscalation/DefenseEvasion
T1560.003,Collection
T1578,DefenseEvasion
T1584.008,ResourceDevelopment
T1583.008,ResourceDevelopment
T1069,Discovery
T1114,Collection
T1003.002,CredentialAccess
T1596.002,Reconnaissance
T1542.001,Persistence/DefenseEvasion
T1594,Reconnaissance
T1069.003,Discovery
T1574.011,Persistence/PrivilegeEscalation/DefenseEvasion
T1596.001,Reconnaissance
T1499.003,Impact
T1163,Persistence
T1195.001,InitialAccess
T1588.004,ResourceDevelopment
T1583.002,ResourceDevelopment
T1561,Impact
T1071.004,CommandAndControl
T1552.005,CredentialAccess
T1555.002,CredentialAccess
T1615,Discovery
T1542.003,Persistence/DefenseEvasion
T1025,Collection
T1116,DefenseEvasion
T1218.013,DefenseEvasion
T1522,CredentialAccess
T1093,DefenseEvasion
T1074.001,Collection
T1036.005,DefenseEvasion
T1172,CommandAndControl
T1587.003,ResourceDevelopment
T1565.001,Impact
T1110.002,CredentialAccess
T1178,PrivilegeEscalation
T1114.001,Collection
T1555.001,CredentialAccess
T1547,Persistence/PrivilegeEscalation
T1003.004,CredentialAccess
T1013,Persistence/PrivilegeEscalation
T1600,DefenseEvasion
T1606.002,CredentialAccess
T1192,InitialAccess
T1036.008,DefenseEvasion
T1489,Impact
T1587.001,ResourceDevelopment
T1121,DefenseEvasion/Execution
T1652,Discovery
T1206,PrivilegeEscalation
T1087.002,Discovery
T1547.014,Persistence/PrivilegeEscalation
T1564,DefenseEvasion
T1559.002,Execution
T1204.002,Execution
T1591.003,Reconnaissance
T1063,Discovery
T1071.005,CommandAndControl
T1592.001,Reconnaissance
T1080,LateralMovement
T1484.002,DefenseEvasion/PrivilegeEscalation
T1213.006,Collection
T1573.001,CommandAndControl
T1087.001,Discovery
T1167,CredentialAccess
T1586.001,ResourceDevelopment
T1176.001,Persistence
T1527,DefenseEvasion/LateralMovement
T1562.009,DefenseEvasion
T1180,Persistence
T1542.005,DefenseEvasion/Persistence
T1543.003,Persistence/PrivilegeEscalation
T1568.001,CommandAndControl
T1497.001,DefenseEvasion/Discovery
T1053.003,Execution/Persistence/PrivilegeEscalation
T1069.002,Discovery
T1588.006,ResourceDevelopment
T1566.002,InitialAccess
T1165,Persistence/PrivilegeEscalation
T1070.002,DefenseEvasion
T1499.004,Impact
T1137,Persistence
T1218.004,DefenseEvasion
T1598.003,Reconnaissance
T1021.004,LateralMovement
T1098.003,Persistence/PrivilegeEscalation
T1547.012,Persistence/PrivilegeEscalation
T1089,DefenseEvasion
T1487,Impact
T1566.001,InitialAccess
T1214,CredentialAccess
T1027.008,DefenseEvasion
T1559.001,Execution
T1574.001,Persistence/PrivilegeEscalation/DefenseEvasion
T1119,Collection
T1115,Collection
T1003.007,CredentialAccess
T1583.005,ResourceDevelopment
T1555.005,CredentialAccess
T1103,Persistence/PrivilegeEscalation
T1553.001,DefenseEvasion
T1675,Execution
T1608.004,ResourceDevelopment
T1007,Discovery
T1040,CredentialAccess/Discovery
T1017,LateralMovement
T1553.002,DefenseEvasion
T1530,Collection
T1565.003,Impact
T1552.002,CredentialAccess
T1135,Discovery
T1120,Discovery
T1036.009,DefenseEvasion
T1590.004,Reconnaissance
T1587.002,ResourceDevelopment
T1222.001,DefenseEvasion
T1137.006,Persistence
T1505.002,Persistence
T1082,Discovery
T1071,CommandAndControl
T1574.014,Persistence/PrivilegeEscalation/DefenseEvasion
T1074.002,Collection
T1098.006,Persistence/PrivilegeEscalation
T1053,Execution/Persistence/PrivilegeEscalation
T1218.007,DefenseEvasion
T1162,Persistence
T1590.003,Reconnaissance
T1498.002,Impact
T1556.002,CredentialAccess/DefenseEvasion/Persistence
T1505.005,Persistence
T1059.002,Execution
T1176,Persistence
T1499.002,Impact
T1195.003,InitialAccess
T1106,Execution
T1558.005,CredentialAccess
T1070.007,DefenseEvasion
T1558.004,CredentialAccess
T1058,Persistence/PrivilegeEscalation
T1584.003,ResourceDevelopment
T1059.010,Execution
T1600.001,DefenseEvasion
T1070.003,DefenseEvasion
T1202,DefenseEvasion
T1024,CommandAndControl
T1536,DefenseEvasion
T1091,LateralMovement/InitialAccess
T1005,Collection
T1140,DefenseEvasion
T1137.005,Persistence
T1562,DefenseEvasion
T1586.003,ResourceDevelopment
T1586.002,ResourceDevelopment
T1098.007,Persistence/PrivilegeEscalation
T1608.001,ResourceDevelopment
T1195,InitialAccess
T1190,InitialAccess
T1558,CredentialAccess
T1555,CredentialAccess
T1567,Exfiltration
T1219,CommandAndControl
T1583.001,ResourceDevelopment
T1560.002,Collection
T1055.003,DefenseEvasion/PrivilegeEscalation
T1079,CommandAndControl
T1036,DefenseEvasion
T1546.011,PrivilegeEscalation/Persistence
T1552,CredentialAccess
T1547.010,Persistence/PrivilegeEscalation
T1070.008,DefenseEvasion
T1037.002,Persistence/PrivilegeEscalation
T1659,InitialAccess/CommandAndControl
T1055,DefenseEvasion/PrivilegeEscalation
T1567.004,Exfiltration
T1139,CredentialAccess
T1205,DefenseEvasion/Persistence/CommandAndControl
T1021.008,LateralMovement
T1503,CredentialAccess
T1218,DefenseEvasion
T1153,Execution
T1038,Persistence/PrivilegeEscalation/DefenseEvasion
T1050,Persistence/PrivilegeEscalation
T1070.006,DefenseEvasion
T1557.004,CredentialAccess/Collection
T1620,DefenseEvasion
T1016.002,Discovery
T1480.002,DefenseEvasion
T1564.011,DefenseEvasion
T1611,PrivilegeEscalation
T1518.002,Discovery
T1547.009,Persistence/PrivilegeEscalation
T1010,Discovery
T1569.003,Execution
T1032,CommandAndControl
T1087.003,Discovery
T1062,Persistence
T1497.003,DefenseEvasion/Discovery
T1182,Persistence/PrivilegeEscalation
T1218.003,DefenseEvasion
T1563.001,LateralMovement
T1562.002,DefenseEvasion
T1029,Exfiltration
T1021.002,LateralMovement
T1525,Persistence
T1572,CommandAndControl
T1218.002,DefenseEvasion
T1599.001,DefenseEvasion
T1608.002,ResourceDevelopment
T1547.005,Persistence/PrivilegeEscalation
T1036.011,DefenseEvasion
T1004,Persistence
T1009,DefenseEvasion
T1550,DefenseEvasion/LateralMovement
T1076,LateralMovement
T1597.001,Reconnaissance
T1011,Exfiltration
T1602.002,Collection
T1589,Reconnaissance
T1131,Persistence
T1181,DefenseEvasion/PrivilegeEscalation
T1562.004,DefenseEvasion
T1560,Collection
T1152,DefenseEvasion/Execution/Persistence
T1553.003,DefenseEvasion
T1483,CommandAndControl
T1185,Collection
T1021,LateralMovement
T1071.003,CommandAndControl
T1556.007,CredentialAccess/DefenseEvasion/Persistence
T1595.002,Reconnaissance
T1059.009,Execution
T1596,Reconnaissance
T1218.015,DefenseEvasion
T1562.012,DefenseEvasion
T1207,DefenseEvasion
T1553.006,DefenseEvasion
T1610,DefenseEvasion/Execution
T1107,DefenseEvasion
T1145,CredentialAccess
T1112,DefenseEvasion/Persistence
T1543.004,Persistence/PrivilegeEscalation
T1580,Discovery
T1555.003,CredentialAccess
T1574.008,Persistence/PrivilegeEscalation/DefenseEvasion
T1491,Impact
T1535,DefenseEvasion
T1557.003,CredentialAccess/Collection
T1155,Execution
T1563,LateralMovement
T1564.013,DefenseEvasion
T1027.001,DefenseEvasion
T1505.003,Persistence
T1484.001,DefenseEvasion/PrivilegeEscalation
T1217,Discovery
T1552.004,CredentialAccess
T1583.004,ResourceDevelopment
T1021.006,LateralMovement
T1011.001,Exfiltration
T1078.001,DefenseEvasion/Persistence/PrivilegeEscalation/InitialAccess
T1547.003,Persistence/PrivilegeEscalation
T1183,PrivilegeEscalation/Persistence/DefenseEvasion
T1085,DefenseEvasion/Execution
T1031,Persistence
T1546.005,PrivilegeEscalation/Persistence
T1574.006,Persistence/PrivilegeEscalation/DefenseEvasion
T1136.001,Persistence
T1681,Reconnaissance
T1674,Execution
T1092,CommandAndControl
T1070.001,DefenseEvasion
T1585.002,ResourceDevelopment
T1557.001,CredentialAccess/Collection
T1222,DefenseEvasion
T1003.001,CredentialAccess
T1053.001,Execution/Persistence/PrivilegeEscalation
T1176.002,Persistence
T1179,Persistence/PrivilegeEscalation/CredentialAccess
T1595,Reconnaissance
T1027.016,DefenseEvasion
T1547.011,Persistence/PrivilegeEscalation
T1548,PrivilegeEscalation/DefenseEvasion
T1134.002,DefenseEvasion/PrivilegeEscalation
T1548.001,PrivilegeEscalation/DefenseEvasion
T1547.004,Persistence/PrivilegeEscalation
T1019,Persistence
T1021.003,LateralMovement
T1042,Persistence
T1117,DefenseEvasion/Execution
T1110.003,CredentialAccess
T1090.002,CommandAndControl
T1056.003,Collection/CredentialAccess
T1589.002,Reconnaissance
T1164,Persistence
T1054,DefenseEvasion
T1598.004,Reconnaissance
T1108,DefenseEvasion/Persistence
T1193,InitialAccess
T1003.005,CredentialAccess
T1098.004,Persistence/PrivilegeEscalation
T1673,Discovery
T1215,Persistence
T1101,Persistence
T1590.006,Reconnaissance
T1546.012,PrivilegeEscalation/Persistence
T1218.008,DefenseEvasion
T1593.002,Reconnaissance
T1177,Execution/Persistence
T1591.002,Reconnaissance
T1548.005,PrivilegeEscalation/DefenseEvasion
T1125,Collection
T1144,DefenseEvasion
T1045,DefenseEvasion
T1055.013,DefenseEvasion/PrivilegeEscalation
T1016,Discovery
T1578.003,DefenseEvasion
T1593.003,Reconnaissance
T1574.005,Persistence/PrivilegeEscalation/DefenseEvasion
T1546.008,PrivilegeEscalation/Persistence
T1496.002,Impact
T1504,Persistence/PrivilegeEscalation
T1198,DefenseEvasion/Persistence
T1087,Discovery
T1090,CommandAndControl
T1059,Execution
T1204.005,Execution
T1562.006,DefenseEvasion
T1136.002,Persistence
T1564.014,DefenseEvasion
T1589.003,Reconnaissance
T1677,Execution
T1482,Discovery
T1558.001,CredentialAccess
T1175,LateralMovement/Execution
T1020,Exfiltration
T1592.004,Reconnaissance
T1562.007,DefenseEvasion
T1219.001,CommandAndControl
T1036.002,DefenseEvasion
T1588.001,ResourceDevelopment
T1027.017,DefenseEvasion
T1542.002,Persistence/DefenseEvasion
T1070,DefenseEvasion
T1048.001,Exfiltration
T1137.001,Persistence
T1583.003,ResourceDevelopment
T1213.001,Collection
T1550.003,DefenseEvasion/LateralMovement
T1609,Execution
T1083,Discovery
T1568,CommandAndControl
T1036.004,DefenseEvasion
T1055.004,DefenseEvasion/PrivilegeEscalation
T1020.001,Exfiltration
T1138,Persistence/PrivilegeEscalation
T1647,DefenseEvasion
T1127.003,DefenseEvasion
T1546.009,PrivilegeEscalation/Persistence
T1191,DefenseEvasion/Execution
T1188,CommandAndControl
T1114.003,Collection
T1074,Collection
T1649,CredentialAccess
T1098.005,Persistence/PrivilegeEscalation
T1049,Discovery
T1584,ResourceDevelopment
T1553.005,DefenseEvasion
T1600.002,DefenseEvasion
T1542,DefenseEvasion/Persistence
T1064,DefenseEvasion/Execution
T1612,DefenseEvasion
T1051,LateralMovement
T1055.002,DefenseEvasion/PrivilegeEscalation
T1218.012,DefenseEvasion
T1586,ResourceDevelopment
T1569.001,Execution
T1584.005,ResourceDevelopment
T1059.008,Execution
T1552.003,CredentialAccess
T1562.010,DefenseEvasion
T1559.003,Execution
T1497,DefenseEvasion/Discovery
T1102,CommandAndControl
T1552.001,CredentialAccess
T1568.003,CommandAndControl
T1218.005,DefenseEvasion
T1547.015,Persistence/PrivilegeEscalation
T1608,ResourceDevelopment
T1608.005,ResourceDevelopment
T1104,CommandAndControl
T1657,Impact
T1480,DefenseEvasion
T1619,Discovery
T1606.001,CredentialAccess
T1654,Discovery
T1134.001,DefenseEvasion/PrivilegeEscalation
T1567.001,Exfiltration
T1021.007,LateralMovement
T1205.001,DefenseEvasion/Persistence/CommandAndControl
T1027.012,DefenseEvasion
T1583.006,ResourceDevelopment
T1528,CredentialAccess
T1598.002,Reconnaissance
T1098.001,Persistence/PrivilegeEscalation
T1204,Execution
T1491.001,Impact
T1564.002,DefenseEvasion
T1134.003,DefenseEvasion/PrivilegeEscalation
T1552.006,CredentialAccess
T1196,DefenseEvasion/Execution
T1048.002,Exfiltration
T1087.004,Discovery
T1057,Discovery
T1562.003,DefenseEvasion
T1053.004,Execution/Persistence/PrivilegeEscalation
T1556.008,CredentialAccess/DefenseEvasion/Persistence
T1546.003,PrivilegeEscalation/Persistence
T1596.004,Reconnaissance
T1497.002,DefenseEvasion/Discovery
T1141,CredentialAccess
T1496.004,Impact
T1585.003,ResourceDevelopment
T1072,Execution/LateralMovement
T1041,Exfiltration
T1134.004,DefenseEvasion/PrivilegeEscalation
T1591,Reconnaissance
T1060,Persistence
T1606,CredentialAccess
T1621,CredentialAccess
T1554,Persistence
T1552.008,CredentialAccess
T1059.001,Execution
T1023,Persistence
T1546.001,PrivilegeEscalation/Persistence
T1055.014,DefenseEvasion/PrivilegeEscalation
T1026,CommandAndControl
T1071.002,CommandAndControl
T1679,DefenseEvasion
T1122,DefenseEvasion/Persistence
T1015,Persistence/PrivilegeEscalation
T1212,CredentialAccess
T1546.014,PrivilegeEscalation/Persistence
T1102.003,CommandAndControl
T1590,Reconnaissance
T1210,LateralMovement
T1502,DefenseEvasion/PrivilegeEscalation
T1142,CredentialAccess
T1534,LateralMovement
T1169,PrivilegeEscalation
T1574.010,Persistence/PrivilegeEscalation/DefenseEvasion
T1547.001,Persistence/PrivilegeEscalation
T1199,InitialAccess
T1136.003,Persistence
T1069.001,Discovery
T1149,DefenseEvasion
T1593,Reconnaissance
T1562.013,DefenseEvasion
T1098,Persistence/PrivilegeEscalation
T1170,DefenseEvasion/Execution
T1048,Exfiltration
T1547.006,Persistence/PrivilegeEscalation
T1678,DefenseEvasion
T1056.002,Collection/CredentialAccess
T1097,LateralMovement
T1588.002,ResourceDevelopment
T1052.001,Exfiltration
T1574.013,Persistence/PrivilegeEscalation/DefenseEvasion
T1597,Reconnaissance
T1053.006,Execution/Persistence/PrivilegeEscalation
T1566,InitialAccess
T1061,Execution
T1542.004,DefenseEvasion/Persistence
T1218.001,DefenseEvasion
T1496.001,Impact
T1070.005,DefenseEvasion
T1090.003,CommandAndControl
T1110,CredentialAccess
T1059.004,Execution
T1137.003,Persistence
T1219.003,CommandAndControl
T1157,Persistence/PrivilegeEscalation
T1562.001,DefenseEvasion
T1565,Impact
T1559,Execution
T1001,CommandAndControl
T1039,Collection
T1584.006,ResourceDevelopment
T1601,DefenseEvasion
T1574,Persistence/PrivilegeEscalation/DefenseEvasion
T1036.012,DefenseEvasion
T1059.011,Execution
T1027.005,DefenseEvasion
T1204.003,Execution
T1543.005,Persistence/PrivilegeEscalation
T1078,DefenseEvasion/Persistence/PrivilegeEscalation/InitialAccess
T1571,CommandAndControl
T1585.001,ResourceDevelopment
T1073,DefenseEvasion
T1055.012,DefenseEvasion/PrivilegeEscalation
T1068,PrivilegeEscalation
T1564.009,DefenseEvasion
T1531,Impact
T1110.004,CredentialAccess
T1208,CredentialAccess
T1027,DefenseEvasion
T1556.006,CredentialAccess/DefenseEvasion/Persistence
T1114.002,Collection
T1505.004,Persistence
T1036.001,DefenseEvasion
T1564.006,DefenseEvasion
T1154,Execution/Persistence
T1027.014,DefenseEvasion
T1201,Discovery
T1546,PrivilegeEscalation/Persistence
T1546.004,PrivilegeEscalation/Persistence
T1187,CredentialAccess
T1134.005,DefenseEvasion/PrivilegeEscalation
T1599,DefenseEvasion
T1486,Impact
T1488,Impact
T1553,DefenseEvasion
T1548.004,PrivilegeEscalation/DefenseEvasion
T1592.003,Reconnaissance
T1573,CommandAndControl
T1174,CredentialAccess
T1547.002,Persistence/PrivilegeEscalation
T1218.010,DefenseEvasion
T1002,Exfiltration
T1567.003,Exfiltration
T1081,CredentialAccess
T1592.002,Reconnaissance
T1128,Persistence
T1056,Collection/CredentialAccess
T1566.004,InitialAccess
T1587.004,ResourceDevelopment
T1593.001,Reconnaissance
T1213.004,Collection
T1546.015,PrivilegeEscalation/Persistence
T1589.001,Reconnaissance
T1195.002,InitialAccess
T1036.003,DefenseEvasion
T1102.002,CommandAndControl
T1203,Execution
T1595.003,Reconnaissance
T1667,Impact
T1562.011,DefenseEvasion
T1137.004,Persistence
T1573.002,CommandAndControl
T1567.002,Exfiltration
T1570,LateralMovement
T1574.009,Persistence/PrivilegeEscalation/DefenseEvasion
T1608.003,ResourceDevelopment
T1168,Persistence/Execution
T1166,PrivilegeEscalation/Persistence
T1037.005,Persistence/PrivilegeEscalation
T1100,Persistence/PrivilegeEscalation
T1186,DefenseEvasion
T1184,LateralMovement
T1614.001,Discovery
T1095,CommandAndControl
T1075,LateralMovement
T1059.013,Execution
T1027.003,DefenseEvasion
T1584.002,ResourceDevelopment
T1671,Persistence
T1001.003,CommandAndControl
T1012,Discovery
T1030,Exfiltration
T1028,Execution/LateralMovement
T1550.004,DefenseEvasion/LateralMovement
T1078.002,DefenseEvasion/Persistence/PrivilegeEscalation/InitialAccess
T1218.009,DefenseEvasion
T1034,Persistence/PrivilegeEscalation
T1546.018,Persistence/PrivilegeEscalation
T1506,DefenseEvasion/LateralMovement
T1553.004,DefenseEvasion
T1037.003,Persistence/PrivilegeEscalation
T1499,Impact
T1027.004,DefenseEvasion
T1065,CommandAndControl
T1614,Discovery
T1564.007,DefenseEvasion
T1197,DefenseEvasion/Persistence
T1127.001,DefenseEvasion
T1656,DefenseEvasion
T1578.005,DefenseEvasion
T1088,DefenseEvasion/PrivilegeEscalation
T1494,Impact
T1090.004,CommandAndControl
T1557.002,CredentialAccess/Collection
T1562.008,DefenseEvasion
T1518.001,Discovery
T1564.003,DefenseEvasion
T1493,Impact
T1127.002,DefenseEvasion
T1059.006,Execution
T1070.010,DefenseEvasion
T1591.004,Reconnaissance
T1132,CommandAndControl
T1546.010,PrivilegeEscalation/Persistence
T1598,Reconnaissance
T1496,Impact
T1585,ResourceDevelopment
T1588,ResourceDevelopment
T1546.002,PrivilegeEscalation/Persistence
T1147,DefenseEvasion
T1556.009,CredentialAccess/DefenseEvasion/Persistence
T1578.002,DefenseEvasion
T1500,DefenseEvasion
T1555.006,CredentialAccess
T1213.003,Collection
T1565.002,Impact
T1003.008,CredentialAccess
T1543.001,Persistence/PrivilegeEscalation
T1569,Execution
T1059.003,Execution
T1055.009,DefenseEvasion/PrivilegeEscalation
T1223,DefenseEvasion/Execution
T1650,ResourceDevelopment
T1601.001,DefenseEvasion
T1558.002,CredentialAccess
T1213,Collection
T1070.009,DefenseEvasion
T1059.012,Execution
T1146,DefenseEvasion
T1555.004,CredentialAccess
T1036.010,DefenseEvasion
T1519,Persistence/PrivilegeEscalation
T1194,InitialAccess
T1200,InitialAccess
T1219.002,CommandAndControl
T1505,Persistence
T1485,Impact
T1132.002,CommandAndControl
T1556.001,CredentialAccess/DefenseEvasion/Persistence
T1537,Exfiltration
T1027.006,DefenseEvasion
T1556.005,CredentialAccess/DefenseEvasion/Persistence
T1027.010,DefenseEvasion
T1130,DefenseEvasion
T1022,Exfiltration
T1070.004,DefenseEvasion
T1189,InitialAccess
T1498,Impact
T1651,Execution
T1546.016,PrivilegeEscalation/Persistence
T1595.001,Reconnaissance
T1158,DefenseEvasion/Persistence
T1221,DefenseEvasion
T1037.004,Persistence/PrivilegeEscalation
T1134,DefenseEvasion/PrivilegeEscalation
T1209,Persistence
T1111,CredentialAccess
T1159,Persistence
T1027.002,DefenseEvasion
T1584.007,ResourceDevelopment
T1071.001,CommandAndControl
T1059.005,Execution
T1564.005,DefenseEvasion
T1543.002,Persistence/PrivilegeEscalation
T1668,Persistence
T1563.002,LateralMovement
T1136,Persistence
T1547.013,Persistence/PrivilegeEscalation
T1584.004,ResourceDevelopment
T1672,DefenseEvasion
T1526,Discovery
T1204.004,Execution
T1151,DefenseEvasion/Execution
T1018,Discovery
T1046,Discovery
T1590.001,Reconnaissance
T1518,Discovery
T1538,Discovery
T1055.005,DefenseEvasion/PrivilegeEscalation
T1622,DefenseEvasion/Discovery
T1036.006,DefenseEvasion
T1547.007,Persistence/PrivilegeEscalation
T1608.006,ResourceDevelopment
T1550.002,DefenseEvasion/LateralMovement
T1052,Exfiltration
T1574.002,Persistence/PrivilegeEscalation/DefenseEvasion
T1105,CommandAndControl
T1216.002,DefenseEvasion
T1098.002,Persistence/PrivilegeEscalation
T1588.003,ResourceDevelopment
T1126,DefenseEvasion
T1648,Execution
T1548.006,DefenseEvasion/PrivilegeEscalation
T1084,Persistence
T1160,Persistence/PrivilegeEscalation
T1055.008,DefenseEvasion/PrivilegeEscalation
T1653,Persistence
T1027.007,DefenseEvasion
T1021.001,LateralMovement
T1037.001,Persistence/PrivilegeEscalation
T1055.015,DefenseEvasion/PrivilegeEscalation
T1665,CommandAndControl
T1484,DefenseEvasion/PrivilegeEscalation
T1220,DefenseEvasion
T1596.005,Reconnaissance
T1564.001,DefenseEvasion
T1578.001,DefenseEvasion
T1591.001,Reconnaissance
T1137.002,Persistence
T1587,ResourceDevelopment
T1173,Execution
T1003.003,CredentialAccess
T1602.001,Collection
T1001.002,CommandAndControl
T1204.001,Execution
T1550.001,DefenseEvasion/LateralMovement
T1547.008,Persistence/PrivilegeEscalation
T1569.002,Execution
T1078.004,DefenseEvasion/Persistence/PrivilegeEscalation/InitialAccess
T1480.001,DefenseEvasion
T1008,CommandAndControl
T1680,Discovery
T1564.004,DefenseEvasion
T1558.003,CredentialAccess
T1096,DefenseEvasion
T1003.006,CredentialAccess
T1124,Discovery
T1053.002,Execution/Persistence/PrivilegeEscalation
T1035,Execution
T1055.001,DefenseEvasion/PrivilegeEscalation
T1086,Execution
T1588.005,ResourceDevelopment
T1556,CredentialAccess/DefenseEvasion/Persistence
T1546.017,Persistence/PrivilegeEscalation
T1056.004,Collection/CredentialAccess
T1495,Impact
T1490,Impact
T1546.007,PrivilegeEscalation/Persistence
T1566.003,InitialAccess
T1090.001,CommandAndControl
T1216,DefenseEvasion
T1094,CommandAndControl
T1102.001,CommandAndControl
T1118,DefenseEvasion/Execution
T1001.001,CommandAndControl
T1598.001,Reconnaissance
T1043,CommandAndControl
T1505.006,Persistence
T1552.007,CredentialAccess
T1584.001,ResourceDevelopment
T1505.001,Persistence
T1556.004,CredentialAccess/DefenseEvasion/Persistence
T1561.001,Impact
T1213.005,Collection
T1048.003,Exfiltration
T1027.015,DefenseEvasion
T1574.004,Persistence/PrivilegeEscalation/DefenseEvasion
T1601.002,DefenseEvasion
T1078.003,DefenseEvasion/Persistence/PrivilegeEscalation/InitialAccess
T1669,InitialAccess
T1211,DefenseEvasion
T1127,DefenseEvasion
T1529,Impact
T1218.014,DefenseEvasion
T1564.010,DefenseEvasion
T1077,LateralMovement
T1574.012,Persistence/PrivilegeEscalation/DefenseEvasion
